LocationName,GreenwayDirection,LocationType,Joggers,Walkers,TotalCitibikes,Total
East River Esplanade at E Houston St.,NB,Greenway,1345,445,112.0,1902.0
East River Esplanade at E Houston St.,SB,Greenway,1412,453,91.0,1956.0
East River Greenway at E Houston St.,NB,Greenway,276,375,108.0,759.0
East River Greenway at E Houston St.,SB,Greenway,237,377,110.0,724.0
East River Greenway at E90th St.,NB,Greenway,565,572,,
East River Greenway at E90th St.,SB,Greenway,517,603,,
Route 9A Esplanade at 11th St.,NB,Greenway,1568,1300,1.0,2869.0
Route 9A Esplanade at 11th St.,SB,Greenway,1507,1167,1.0,2675.0
Route 9A Greenway at 11th St.,NB,Greenway,307,33,746.0,1086.0
Route 9A Greenway at 11th St.,SB,Greenway,269,58,720.0,1047.0
Route 9A Greenway at 125th St.,NB,Greenway,46,85,1.0,132.0
Route 9A Greenway at 125th St.,SB,Greenway,43,69,1.0,113.0
Route 9A Greenway at 80th St.,NB,Greenway,817,508,9.0,1334.0
Route 9A Greenway at 80th St.,SB,Greenway,815,665,12.0,1492.0
