,SeasonYear,Date,DayofWeek,LocationName,GreenwayDirection,LocationType,Joggers,Walkers,TotalCitibikes
0,Fall 2014,20-Sep-14,Saturday,East River Esplanade at E Houston St.,NB,Greenway,68,16,2.0
1,Fall 2014,20-Sep-14,Saturday,East River Esplanade at E Houston St.,SB,Greenway,66,21,7.0
2,Fall 2014,20-Sep-14,Saturday,East River Esplanade at E Houston St.,SB,Greenway,83,22,3.0
3,Fall 2014,20-Sep-14,Saturday,East River Esplanade at E Houston St.,NB,Greenway,82,15,3.0
4,Fall 2014,20-Sep-14,Saturday,East River Esplanade at E Houston St.,NB,Greenway,68,27,2.0
5,Fall 2014,20-Sep-14,Saturday,East River Esplanade at E Houston St.,SB,Greenway,71,20,5.0
6,Fall 2014,20-Sep-14,Saturday,East River Esplanade at E Houston St.,NB,Greenway,64,20,1.0
7,Fall 2014,20-Sep-14,Saturday,East River Esplanade at E Houston St.,SB,Greenway,88,14,1.0
8,Fall 2014,20-Sep-14,Saturday,East River Esplanade at E Houston St.,NB,Greenway,67,21,3.0
9,Fall 2014,20-Sep-14,Saturday,East River Esplanade at E Houston St.,SB,Greenway,57,45,1.0
10,Fall 2014,20-Sep-14,Saturday,East River Esplanade at E Houston St.,NB,Greenway,56,14,3.0
11,Fall 2014,20-Sep-14,Saturday,East River Esplanade at E Houston St.,SB,Greenway,50,18,2.0
12,Fall 2014,20-Sep-14,Saturday,East River Esplanade at E Houston St.,NB,Greenway,46,20,2.0
13,Fall 2014,20-Sep-14,Saturday,East River Esplanade at E Houston St.,SB,Greenway,69,9,5.0
14,Fall 2014,20-Sep-14,Saturday,East River Esplanade at E Houston St.,SB,Greenway,50,19,4.0
15,Fall 2014,20-Sep-14,Saturday,East River Esplanade at E Houston St.,NB,Greenway,55,22,
16,Fall 2014,20-Sep-14,Saturday,East River Esplanade at E Houston St.,SB,Greenway,48,9,1.0
17,Fall 2014,20-Sep-14,Saturday,East River Esplanade at E Houston St.,NB,Greenway,54,12,2.0
18,Fall 2014,20-Sep-14,Saturday,East River Esplanade at E Houston St.,NB,Greenway,40,16,6.0
19,Fall 2014,20-Sep-14,Saturday,East River Esplanade at E Houston St.,SB,Greenway,56,7,4.0
20,Fall 2014,20-Sep-14,Saturday,East River Esplanade at E Houston St.,NB,Greenway,45,7,3.0
21,Fall 2014,20-Sep-14,Saturday,East River Esplanade at E Houston St.,SB,Greenway,54,20,4.0
22,Fall 2014,20-Sep-14,Saturday,East River Esplanade at E Houston St.,NB,Greenway,38,15,5.0
23,Fall 2014,20-Sep-14,Saturday,East River Esplanade at E Houston St.,SB,Greenway,30,18,7.0
24,Fall 2014,18-Sep-14,Thursday,East River Esplanade at E Houston St.,NB,Greenway,60,9,5.0
25,Fall 2014,18-Sep-14,Thursday,East River Esplanade at E Houston St.,SB,Greenway,48,9,3.0
26,Fall 2014,18-Sep-14,Thursday,East River Esplanade at E Houston St.,SB,Greenway,51,6,
27,Fall 2014,18-Sep-14,Thursday,East River Esplanade at E Houston St.,NB,Greenway,62,11,
28,Fall 2014,18-Sep-14,Thursday,East River Esplanade at E Houston St.,SB,Greenway,43,11,
29,Fall 2014,18-Sep-14,Thursday,East River Esplanade at E Houston St.,NB,Greenway,31,7,
30,Fall 2014,18-Sep-14,Thursday,East River Esplanade at E Houston St.,SB,Greenway,39,8,9.0
31,Fall 2014,18-Sep-14,Thursday,East River Esplanade at E Houston St.,NB,Greenway,40,5,4.0
32,Fall 2014,18-Sep-14,Thursday,East River Esplanade at E Houston St.,SB,Greenway,61,13,4.0
33,Fall 2014,18-Sep-14,Thursday,East River Esplanade at E Houston St.,NB,Greenway,63,4,
34,Fall 2014,18-Sep-14,Thursday,East River Esplanade at E Houston St.,SB,Greenway,27,10,3.0
35,Fall 2014,18-Sep-14,Thursday,East River Esplanade at E Houston St.,NB,Greenway,18,4,2.0
36,Fall 2014,18-Sep-14,Thursday,East River Esplanade at E Houston St.,SB,Greenway,18,7,1.0
37,Fall 2014,18-Sep-14,Thursday,East River Esplanade at E Houston St.,NB,Greenway,25,22,4.0
38,Fall 2014,18-Sep-14,Thursday,East River Esplanade at E Houston St.,NB,Greenway,17,10,3.0
39,Fall 2014,18-Sep-14,Thursday,East River Esplanade at E Houston St.,SB,Greenway,20,16,
40,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,NB,Greenway,11,9,2.0
41,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,SB,Greenway,12,7,
42,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,SB,Greenway,7,14,1.0
43,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,NB,Greenway,14,13,2.0
44,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,NB,Greenway,13,12,1.0
45,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,SB,Greenway,17,12,
46,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,SB,Greenway,9,8,1.0
47,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,NB,Greenway,12,12,4.0
48,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,SB,Greenway,16,7,3.0
49,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,NB,Greenway,11,11,
50,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,SB,Greenway,16,9,
51,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,NB,Greenway,13,18,3.0
52,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,SB,Greenway,12,7,2.0
53,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,NB,Greenway,9,7,
54,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,NB,Greenway,9,7,3.0
55,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,SB,Greenway,6,7,3.0
56,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,SB,Greenway,8,5,1.0
57,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,NB,Greenway,18,8,4.0
58,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,SB,Greenway,19,9,4.0
59,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,NB,Greenway,14,5,4.0
60,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,NB,Greenway,17,10,3.0
61,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,SB,Greenway,25,6,2.0
62,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,NB,Greenway,23,12,8.0
63,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,SB,Greenway,33,4,2.0
64,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,SB,Greenway,33,13,2.0
65,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,NB,Greenway,36,5,9.0
66,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,SB,Greenway,56,10,0.0
67,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,NB,Greenway,41,7,11.0
68,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,SB,Greenway,50,13,3.0
69,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,NB,Greenway,44,15,3.0
70,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,SB,Greenway,64,20,3.0
71,Fall 2014,17-Sep-14,Wednesday,East River Esplanade at E Houston St.,NB,Greenway,61,17,5.0
72,Fall 2014,27-Sep-14,Saturday,East River Greenway at E Houston St.,NB,Greenway,27,15,4.0
73,Fall 2014,27-Sep-14,Saturday,East River Greenway at E Houston St.,SB,Greenway,20,20,6.0
74,Fall 2014,27-Sep-14,Saturday,East River Greenway at E Houston St.,NB,Greenway,13,20,3.0
75,Fall 2014,27-Sep-14,Saturday,East River Greenway at E Houston St.,SB,Greenway,14,24,4.0
76,Fall 2014,27-Sep-14,Saturday,East River Greenway at E Houston St.,SB,Greenway,13,17,3.0
77,Fall 2014,27-Sep-14,Saturday,East River Greenway at E Houston St.,NB,Greenway,14,19,
78,Fall 2014,27-Sep-14,Saturday,East River Greenway at E Houston St.,SB,Greenway,9,20,4.0
79,Fall 2014,27-Sep-14,Saturday,East River Greenway at E Houston St.,NB,Greenway,16,17,
80,Fall 2014,27-Sep-14,Saturday,East River Greenway at E Houston St.,NB,Greenway,9,26,3.0
81,Fall 2014,27-Sep-14,Saturday,East River Greenway at E Houston St.,SB,Greenway,7,24,4.0
82,Fall 2014,27-Sep-14,Saturday,East River Greenway at E Houston St.,SB,Greenway,11,20,2.0
83,Fall 2014,27-Sep-14,Saturday,East River Greenway at E Houston St.,NB,Greenway,13,20,2.0
84,Fall 2014,27-Sep-14,Saturday,East River Greenway at E Houston St.,SB,Greenway,17,36,9.0
85,Fall 2014,27-Sep-14,Saturday,East River Greenway at E Houston St.,NB,Greenway,8,15,1.0
86,Fall 2014,27-Sep-14,Saturday,East River Greenway at E Houston St.,NB,Greenway,8,7,1.0
87,Fall 2014,27-Sep-14,Saturday,East River Greenway at E Houston St.,SB,Greenway,9,11,3.0
