,xcoord,ycoord,year,datestop,timestop,crimsusp,arstmade,addrtyp,rescode,premtype,premname,addrnum,stname,stinter,crossst,city,state,zip,lat,long
0,1000091,156314,2015,1012015,315,FELONY,N,L, , ,STREET, , ,AVENUE W,EAST 28 STREET,BROOKLYN, , ,40.749494,-73.998514
1,994617,227693,2015,1152015,1747,FELONY,N,L, , ,119 W. 104 ST, , ,TRANSVERSE ROAD NUMBER FOUR,WEST DRIVE,MANHATTAN, , ,40.789474,-73.957394
2,991510,225019,2015,1292015,1745,MISD,N,L, , ,STREET,472,COLUMBUS AVENUE,WEST 83 STREET,WEST 82 STREET,MANHATTAN, , ,40.784362,-73.973891
3,991510,225019,2015,1292015,1745,MIDS,N,L, , ,STREET,472,COLUMBUS AVENUE,WEST 83 STREET,WEST 82 STREET,MANHATTAN, , ,40.784362,-73.973891
4,991510,225019,2015,1292015,1745,MISD,N,L, , ,STREET,472,COLUMBUS AVENUE,WEST 83 STREET,WEST 82 STREET,MANHATTAN, , ,40.784362,-73.973891
5,991510,225019,2015,1292015,1745,MISD,N,L, , ,STREET,472,COLUMBUS AVENUE,WEST 83 STREET,WEST 82 STREET,MANHATTAN, , ,40.784362,-73.973891
6,1005554,179416,2015,2062015,2155,FEL,N,L, , , , , ,EAST 93 STREET,CLARKSON AVENUE,BROOKLYN, , ,40.729495,-74.006973
7,990820,200020,2015,2072015,2115,FEL,N,L, , ,LOBBY,521,ROOSEVELT DRIVE,RIVINGTON STREET,DELANCEY STREET,MANHATTAN, , ,43.355741,-78.280101
8,987521,201066,2015,2122015,1405,FEL,N,L, , ,MEZZ, , ,ESSEX STREET,DELANCEY STREET,MANHATTAN, , ,40.720323,-73.994035
9,974057,164979,2015,2142015,200,FEONY,N,L, , ,STREET,142,93 STREET,RIDGE BOULEVARD,MARINE AVENUE,BROOKLYN, , ,40.784767,-73.954466
10,998617,171801,2015,2182015,2125,FELONY/ROBBERY,N,L, , ,MCDONALDS,1930,NOSTRAND AVENUE,FARRAGUT ROAD,FOSTER AVENUE,BROOKLYN, , ,40.714269,-74.005973
11,1017302,182366,2015,3142015,15,ROBBERY,N,L, , ,794 NEW LOTS ( RESIDENCE), , ,LINWOOD STREET,NEW LOTS AVENUE,BROOKLYN, , ,40.722819,-73.993089
12,986819,214690,2015,1012015,10,FEL,N,L, , ,SIDEWALK, , ,WEST 40 STREET,8 AVENUE,MANHATTAN, , ,40.759096,-73.998288
13,938092,169830,2015,1012015,50,FELONY,N,L, , ,DELI,281,SOUTH AVENUE,BRABANT STREET,STATEN ISLAND RAILROAD,STATEN IS, , ,40.710147,-73.990388
14,1001575,232339,2015,1012015,115,MISD,Y,L, , ,MEZZ, , ,LEXINGTON AVENUE,EAST 125 STREET,MANHATTAN, , ,40.80567,-73.936471
15,1002134,229289,2015,1012015,130,ASSAULT,N,L, , ,PUBLIC SIDEWALK, , ,1 AVENUE,EAST 116 STREET,MANHATTAN, , ,40.800664,-73.946462
16,985764,213806,2015,1012015,140,MISD,N,L, , ,MTS PCT,357,WEST 35 STREET,9 AVENUE,8 AVENUE,MANHATTAN, , ,40.7536,-73.99416
17,1009502,218368,2015,1012015,225,FEL,N,L, , ,"HOUSE, YARD",25-73,44 STREET,28 AVENUE,25 AVENUE,QUEENS, , ,40.714269,-74.005973
18,1002001,246760,2015,1012015,229,FELONY,Y,L, , ,STREET,174,AUDUBON AVENUE,WEST 174 STREET,WEST 173 STREET,MANHATTAN, , ,40.844007,-73.935904
19,1000489,237510,2015,1012015,230,CPW FIREARM/ASSULAT 1,N,L, , , ,2400,7 AVENUE,WEST 141 STREET,WEST 140 STREET,MANHATTAN, , ,40.736752,-74.000914
20,1000029,192060,2015,1012015,240,ROBBERY,N,L, , ,BODEGA, , ,THROOP AVENUE,HART STREET,BROOKLYN, , ,43.063216,-77.223654
21,986286,173740,2015,1012015,300,FEL,N,L, , ,SIDEWALK,1030,40 STREET,FORT HAMILTON PARKWAY,10 AVENUE,BROOKLYN, , ,40.752668,-73.982824
22,986286,173740,2015,1012015,300,FEL,N,L, , ,SIDEWALK,1030,40 STREET,FORT HAMILTON PARKWAY,10 AVENUE,BROOKLYN, , ,40.752668,-73.982824
23,986286,173740,2015,1012015,300,FEL,N,L, , ,SIDEWALK,1030,40 STREET,FORT HAMILTON PARKWAY,10 AVENUE,BROOKLYN, , ,40.752668,-73.982824
24,1010701,217852,2015,1012015,315,FEL,N,L, , ,STREET, , ,49 STREET,25 AVENUE,QUEENS, , ,40.74079,-73.983812
25,1010701,217852,2015,1012015,315,FEL,N,L, , ,STREET, , ,25 AVENUE,49 STREET,QUEENS, , ,40.75846,-73.978497
26,998966,164071,2015,1012015,315,FEL,N,L, , , , , ,AVENUE N,EAST 28 STREET,BROOKLYN, , ,40.742644,-73.982462
27,1032091,189164,2015,1012015,430,FELONY,N,L, , ,BAR,115-22,LIBERTY AVENUE,116 STREET,115 STREET,QUEENS, , ,40.708166,-74.008788
28,1009105,235656,2015,1012015,450,FEL,N,L, , ,STREET,674,EAST 149 STREET,TRINITY AVENUE,MOORE HOUSES,BRONX, , ,40.829356,-73.949476
29,987720,216313,2015,1012015,530,MISD,N,L, , , , , ,8 AVENUE,WEST 47 STREET,MANHATTAN, , ,40.756674,-73.978754
30,989139,222610,2015,1012015,1350,MISD,N,L, , ,RESTAURANT,2049,BROADWAY,WEST 70 STREET,WEST 69 STREET,MANHATTAN, , ,40.777562,-73.982078
31,997876,171024,2015,1012015,1400,FELONY/CPW,N,L, , ,SIDEWALK, , ,FARRAGUT ROAD,FLATBUSH AVENUE,BROOKLYN, , ,40.714269,-74.005973
32,1014559,239605,2015,1012015,1410,GLA,N,L, , ,PUBLIC STREET,1042,HOE AVENUE,EAST 165 STREET,ALDUS STREET,BRONX, , ,40.69123,-74.019102
33,1014559,239605,2015,1012015,1410,GLA,N,L, , ,STREET,1042,HOE AVENUE,EAST 165 STREET,ALDUS STREET,BRONX, , ,40.69123,-74.019102
34,1015049,182457,2015,1012015,1555,CPW,N,L, , ,HOUSE,506,VAN SICLEN AVENUE,DUMONT AVENUE,BLAKE AVENUE,BROOKLYN, , ,43.196179,-76.901324
35,1015049,182457,2015,1012015,1555,CPW,N,L, , ,HOUSE,506,VAN SICLEN AVENUE,DUMONT AVENUE,BLAKE AVENUE,BROOKLYN, , ,43.196179,-76.901324
36,1015049,182457,2015,1012015,1555,CPW,N,L, , ,HOUSE,506,VAN SICLEN AVENUE,DUMONT AVENUE,BLAKE AVENUE,BROOKLYN, , ,43.196179,-76.901324
37,1002557,247203,2015,1012015,1815,FELONY,N,L, , ,STREET,517,WEST 176 STREET,AUDUBON AVENUE,AMSTERDAM AVENUE,MANHATTAN, , ,40.845179,-73.933563
38,1009760,188742,2015,1012015,1815,FEL,N,L, , ,STREET,702,CHAUNCEY STREET,EVERGREEN AVENUE,BUSHWICK AVENUE,BROOKLYN, , ,40.714269,-74.005973
39,990477,203734,2015,1012015,1827,MISDEMEANOR,N,L, , ,PUBLIC SIDEWALK, , ,EAST 10 STREET,AVENUE C,MANHATTAN, , ,40.741474,-74.008716
40,990477,203734,2015,1012015,1827,MISDEMEANOR,N,L, , ,PUBLIC SIDEWALK, , ,EAST 10 STREET,AVENUE C,MANHATTAN, , ,40.741474,-74.008716
41,1001326,232474,2015,1012015,1850,CPW,Y,L, , ,PUBLIC SIDEWALK,116,EAST 125 STREET,LEXINGTON AVENUE,PARK AVENUE,MANHATTAN, , ,40.805057,-73.939034
42,985611,174612,2015,1012015,1930,FELONY,N,L, , ,SUBWAY PLATFORM, , ,9 AVENUE,39 STREET,BROOKLYN, , ,40.751343,-73.9817
43,999537,232842,2015,1012015,1945,MISD,N,L, , ,SIDEWALK, , ,MOUNT MORRIS PARK WEST,WEST 123 STREET,MANHATTAN, , ,40.805136,-73.945239
44,1015069,237227,2015,1012015,2000,CPW,N,L, , ,STREET, , ,GILBERT PLACE,HUNTS POINT AVENUE,BRONX, , ,40.795054,-73.933156
45,1013897,238753,2015,1012015,2030,CPW,N,L, , ,STREET,995,SIMPSON STREET,WESTCHESTER AVENUE,EAST 163 STREET,BRONX, , ,40.714269,-74.005973
46,1001284,193892,2015,1012015,2034,FEL,Y,L, , ,SIDEWALK, , ,BROADWAY,PARK AVENUE,BROOKLYN, , ,40.741563,-73.981816
47,990120,202510,2015,1012015,2125,MISD,N,L, , ,STOOP,733,EAST 5 STREET,AVENUE D,AVENUE C,MANHATTAN, , ,40.722627,-73.979101
48,1041589,189067,2015,1012015,2155,FEL,N,L, , ,STREET, , ,114 ROAD,SUTPHIN BOULEVARD,QUEENS, , ,40.714269,-74.005973
49,994059,228894,2015,1012015,2210,MISD,N,L, , ,SIDEWALK,55,WEST 100 STREET,COLUMBUS AVENUE,MANHATTAN AVENUE,MANHATTAN, , ,40.794786,-73.964303
50,1006799,254838,2015,1012015,2210,FEL,N,L, , ,BLDG,520,ISHAM STREET,SHERMAN AVENUE,10 AVENUE,MANHATTAN, , ,40.86616,-73.918482
51,1012791,238814,2015,1012015,2215,MENACING W/FIREARM,N,L, , ,STREET, , ,INTERVALE AVENUE,WESTCHESTER AVENUE,BRONX, , ,40.714269,-74.005973
52,1012791,238814,2015,1012015,2215,MENACING W/FIREARM,N,L, , ,STREET, , ,INTERVALE AVENUE,WESTCHESTER AVENUE,BRONX, , ,40.714269,-74.005973
53,993854,229237,2015,1012015,2235,MISD,N,L, , ,WALKWAY,825,COLUMBUS AVENUE,WEST 104 STREET,WEST 100 STREET,MANHATTAN, , ,40.795612,-73.965455
